service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
281930506,0,0,0,0,0,1,0,20241130,20241221
281793005,1,1,1,1,1,0,0,20241125,20241220
281932610,0,0,0,0,0,0,1,20241201,20241222
277026001,1,1,1,1,1,0,0,20241125,20241220
276683501,0,0,0,0,0,1,0,20241130,20241221
276682601,0,0,0,0,0,0,1,20241201,20241222
277030001,1,1,1,1,1,0,0,20241125,20241220
277037501,0,0,0,0,0,1,0,20241130,20241221
277039601,0,0,0,0,0,0,1,20241201,20241222
284106004,1,1,1,1,1,0,0,20241125,20241220
273950500,0,0,0,0,0,1,0,20241130,20241214
273899600,0,0,0,0,0,0,1,20241201,20241215
273921501,0,0,0,0,0,1,0,20241221,20241221
273898601,0,0,0,0,0,0,1,20241222,20241222
285170074,1,1,1,1,1,0,0,20241127,20241204
285162010,1,1,1,1,1,0,0,20241125,20241125
285160009,1,1,1,1,1,0,0,20241126,20241206
285172505,0,0,0,0,0,1,0,20241130,20241207
285174605,0,0,0,0,0,0,1,20241201,20241208
285251075,1,1,1,1,1,0,0,20241211,20241218
285247011,1,1,1,1,1,0,0,20241209,20241209
285249012,1,1,1,1,1,0,0,20241210,20241220
285294506,0,0,0,0,0,1,0,20241214,20241221
285315606,0,0,0,0,0,0,1,20241215,20241222
277025000,1,1,1,1,1,0,0,20241125,20241220
276681500,0,0,0,0,0,1,0,20241130,20241221
276680600,0,0,0,0,0,0,1,20241201,20241222
281795003,1,1,1,1,1,0,0,20241125,20241220
281798503,0,0,0,0,0,1,0,20241130,20241221
281800602,0,0,0,0,0,0,1,20241201,20241222
278510002,1,1,1,1,1,0,0,20241125,20241220
278508502,0,0,0,0,0,1,0,20241130,20241221
278506602,0,0,0,0,0,0,1,20241201,20241222
277036001,1,1,1,1,1,0,0,20241125,20241220
277034501,0,0,0,0,0,1,0,20241130,20241221
277032600,0,0,0,0,0,0,1,20241201,20241222
274345600,0,0,0,0,0,0,1,20241201,20241222
274287000,1,1,1,1,1,0,0,20241125,20241220
274343500,0,0,0,0,0,1,0,20241130,20241221
275091000,1,1,1,1,1,0,0,20241125,20241220
274351600,0,0,0,0,0,0,1,20241201,20241222
275097070,1,1,1,1,1,0,0,20241127,20241218
275052500,0,0,0,0,0,1,0,20241130,20241221
283522002,1,1,1,1,1,0,0,20241125,20241220
282997502,0,0,0,0,0,1,0,20241130,20241221
282909602,0,0,0,0,0,0,1,20241201,20241222
277066001,1,1,1,1,1,0,0,20241125,20241220
277067501,0,0,0,0,0,1,0,20241130,20241221
277010601,0,0,0,0,0,0,1,20241201,20241222
281694003,1,1,1,1,1,0,0,20241125,20241220
281870502,0,0,0,0,0,1,0,20241130,20241221
281888602,0,0,0,0,0,0,1,20241201,20241222
275352000,1,1,1,1,1,0,0,20241125,20241220
284971001,1,1,1,1,1,0,0,20241209,20241211
275106500,0,0,0,0,0,1,0,20241130,20241221
274357600,0,0,0,0,0,0,1,20241201,20241222
285046002,1,1,1,1,1,0,0,20241212,20241212
284964602,0,0,0,0,0,0,1,20241208,20241208
282114002,1,1,1,1,1,0,0,20241125,20241217
282158601,0,0,0,0,0,0,1,20241201,20241222
282125501,0,0,0,0,0,1,0,20241130,20241221
283800004,1,1,1,1,1,0,0,20241218,20241220
274347000,1,1,1,1,1,0,0,20241125,20241220
274349030,1,1,1,1,1,0,0,20241127,20241218
274467600,0,0,0,0,0,0,1,20241201,20241222
274463500,0,0,0,0,0,1,0,20241130,20241221
285185008,1,1,1,1,1,0,0,20241129,20241220
282161007,1,1,1,1,1,0,0,20241125,20241218
284970605,0,0,0,0,0,0,1,20241201,20241222
285158504,0,0,0,0,0,1,0,20241130,20241221
274938001,1,1,1,1,1,0,0,20241125,20241219
274939002,1,1,1,1,1,0,0,20241129,20241220
274937601,0,0,0,0,0,0,1,20241201,20241222
274940501,0,0,0,0,0,1,0,20241130,20241221
281969502,0,0,0,0,0,1,0,20241130,20241221
283004005,1,1,1,1,1,0,0,20241125,20241220
274867601,0,0,0,0,0,0,1,20241201,20241222
276669000,1,1,1,1,1,0,0,20241125,20241220
275702500,0,0,0,0,0,1,0,20241130,20241221
275571600,0,0,0,0,0,0,1,20241201,20241222
274476000,1,1,1,1,1,0,0,20241125,20241217
274479500,0,0,0,0,0,1,0,20241130,20241221
274505600,0,0,0,0,0,0,1,20241201,20241222
282112001,1,1,1,1,1,0,0,20241218,20241220
282762002,1,1,1,1,1,0,0,20241125,20241220
282841602,0,0,0,0,0,0,1,20241201,20241222
282842503,0,0,0,0,0,1,0,20241130,20241221
283154003,1,1,1,1,1,0,0,20241125,20241220
283156503,0,0,0,0,0,1,0,20241130,20241221
275021601,0,0,0,0,0,0,1,20241201,20241222
284045002,1,1,1,1,1,0,0,20241125,20241220
278985502,0,0,0,0,0,1,0,20241130,20241221
274106600,0,0,0,0,0,0,1,20241201,20241222
285126001,1,1,1,1,1,0,0,20241127,20241220
285140002,1,1,1,1,1,0,0,20241125,20241217
285130501,0,0,0,0,0,1,0,20241130,20241221
285132601,0,0,0,0,0,0,1,20241201,20241222
281973005,1,1,1,1,1,0,0,20241125,20241220
281977603,0,0,0,0,0,0,1,20241201,20241222
281975503,0,0,0,0,0,1,0,20241130,20241221
283065602,0,0,0,0,0,0,1,20241201,20241222
283012002,1,1,1,1,1,0,0,20241125,20241220
283061503,0,0,0,0,0,1,0,20241130,20241221
281902602,0,0,0,0,0,0,1,20241201,20241222
281896003,1,1,1,1,1,0,0,20241125,20241220
281898032,1,1,1,1,1,0,0,20241127,20241218
281900502,0,0,0,0,0,1,0,20241130,20241221
278159503,0,0,0,0,0,1,0,20241130,20241221
283045004,1,1,1,1,1,0,0,20241125,20241219
283072054,1,1,1,1,1,0,0,20241129,20241220
278161603,0,0,0,0,0,0,1,20241201,20241222
277239602,0,0,0,0,0,0,1,20241201,20241222
277103002,1,1,1,1,1,0,0,20241125,20241220
277237502,0,0,0,0,0,1,0,20241130,20241221
275474001,1,1,1,1,1,0,0,20241125,20241220
275498501,0,0,0,0,0,1,0,20241130,20241221
275500601,0,0,0,0,0,0,1,20241201,20241222
283158004,1,1,1,1,1,0,0,20241125,20241220
283160033,1,1,1,1,1,0,0,20241127,20241218
283162503,0,0,0,0,0,1,0,20241130,20241221
283164602,0,0,0,0,0,0,1,20241201,20241222
285165004,1,1,1,1,1,0,0,20241125,20241220
285182504,0,0,0,0,0,1,0,20241130,20241221
285176603,0,0,0,0,0,0,1,20241201,20241222
282850001,1,1,1,1,1,0,0,20241125,20241220
282852071,1,1,1,1,1,0,0,20241127,20241218
281734501,0,0,0,0,0,1,0,20241130,20241221
274863600,0,0,0,0,0,0,1,20241201,20241222
274509001,1,1,1,1,1,0,0,20241125,20241220
274510501,0,0,0,0,0,1,0,20241130,20241221
274508601,0,0,0,0,0,0,1,20241201,20241222
283078032,1,1,1,1,1,0,0,20241127,20241218
283076002,1,1,1,1,1,0,0,20241125,20241220
283102503,0,0,0,0,0,1,0,20241130,20241221
283133603,0,0,0,0,0,0,1,20241201,20241222
285442003,1,1,1,1,1,0,0,20241125,20241220
285444033,1,1,1,1,1,0,0,20241127,20241218
285423503,0,0,0,0,0,1,0,20241130,20241221
285374603,0,0,0,0,0,0,1,20241201,20241222
274922500,0,0,0,0,0,1,0,20241130,20241221
277070001,1,1,1,1,1,0,0,20241125,20241220
274362600,0,0,0,0,0,0,1,20241201,20241222
284968003,1,1,1,1,1,0,0,20241212,20241212
284490603,0,0,0,0,0,0,1,20241208,20241208
284491002,1,1,1,1,1,0,0,20241209,20241211
277309002,1,1,1,1,1,0,0,20241125,20241220
277249502,0,0,0,0,0,1,0,20241130,20241221
277241602,0,0,0,0,0,0,1,20241201,20241222
282164003,1,1,1,1,1,0,0,20241125,20241220
282198504,0,0,0,0,0,1,0,20241130,20241221
282194603,0,0,0,0,0,0,1,20241201,20241222
275295001,1,1,1,1,1,0,0,20241125,20241217
275355501,0,0,0,0,0,1,0,20241130,20241221
275357601,0,0,0,0,0,0,1,20241201,20241222
282123002,1,1,1,1,1,0,0,20241218,20241220
285319004,1,1,1,1,1,0,0,20241125,20241217
285321032,1,1,1,1,1,0,0,20241127,20241211
285323504,0,0,0,0,0,1,0,20241130,20241221
285325604,0,0,0,0,0,0,1,20241201,20241222
286210033,1,1,1,1,1,0,0,20241218,20241218
286215005,1,1,1,1,1,0,0,20241219,20241220
275023600,0,0,0,0,0,0,1,20241201,20241222
274871500,0,0,0,0,0,1,0,20241130,20241221
274865000,1,1,1,1,1,0,0,20241125,20241220
281840002,1,1,1,1,1,0,0,20241125,20241220
281844602,0,0,0,0,0,0,1,20241201,20241222
281842502,0,0,0,0,0,1,0,20241130,20241221
275701001,1,1,1,1,1,0,0,20241125,20241220
275827501,0,0,0,0,0,1,0,20241130,20241221
275942601,0,0,0,0,0,0,1,20241201,20241222
275122001,1,1,1,1,1,0,0,20241125,20241220
275263501,0,0,0,0,0,1,0,20241130,20241221
275259030,1,1,1,1,1,0,0,20241127,20241218
275265601,0,0,0,0,0,0,1,20241201,20241222
281943603,0,0,0,0,0,0,1,20241201,20241222
281935002,1,1,1,1,1,0,0,20241125,20241220
281937031,1,1,1,1,1,0,0,20241127,20241218
281941503,0,0,0,0,0,1,0,20241130,20241221
276448001,1,1,1,1,1,0,0,20241125,20241220
285188003,1,1,1,1,1,0,0,20241129,20241220
282237002,1,1,1,1,1,0,0,20241125,20241218
282239061,1,1,1,1,1,0,0,20241128,20241128
285180505,0,0,0,0,0,1,0,20241130,20241221
285128604,0,0,0,0,0,0,1,20241201,20241222
285372062,1,1,1,1,1,0,0,20241205,20241219
275119000,1,1,1,1,1,0,0,20241125,20241220
275136500,0,0,0,0,0,1,0,20241130,20241221
275140600,0,0,0,0,0,0,1,20241201,20241222
275298001,1,1,1,1,1,0,0,20241125,20241220
275302501,0,0,0,0,0,1,0,20241130,20241221
275305601,0,0,0,0,0,0,1,20241201,20241222
284889502,0,0,0,0,0,1,0,20241130,20241207
284942002,1,1,1,1,1,0,0,20241125,20241206
284887603,0,0,0,0,0,0,1,20241201,20241208
285903604,0,0,0,0,0,0,1,20241215,20241222
285898003,1,1,1,1,1,0,0,20241209,20241220
285900503,0,0,0,0,0,1,0,20241214,20241221
276259001,1,1,1,1,1,0,0,20241125,20241220
276258031,1,1,1,1,1,0,0,20241127,20241218
276260501,0,0,0,0,0,1,0,20241130,20241221
276257601,0,0,0,0,0,0,1,20241201,20241222
275293000,1,1,1,1,1,0,0,20241125,20241220
275313500,0,0,0,0,0,1,0,20241130,20241221
275300001,1,1,1,1,1,0,0,20241125,20241220
281894602,0,0,0,0,0,0,1,20241201,20241222
281696002,1,1,1,1,1,0,0,20241125,20241220
281872502,0,0,0,0,0,1,0,20241130,20241221
282011601,0,0,0,0,0,0,1,20241201,20241222
281979001,1,1,1,1,1,0,0,20241125,20241217
281981032,1,1,1,1,1,0,0,20241127,20241211
286212033,1,1,1,1,1,0,0,20241218,20241218
281983502,0,0,0,0,0,1,0,20241130,20241221
283802003,1,1,1,1,1,0,0,20241219,20241220
286046602,0,0,0,0,0,0,1,20241215,20241222
285164004,1,1,1,1,1,0,0,20241125,20241206
