stop_id,community
0089,0
0472,1
0501,2
0506,2
0511,2
0516,2
0521,3
0526,2
0529,3
0531,2
0536,3
0539,3
0601,2
0606,2
0611,2
0616,2
0621,2
0626,2
0631,4
0636,5
0702,2
0703,2
0704,2
0705,2
0706,2
0711F,6
0722,2
0723,2
0724,2
0725,2
0726,2
0801,7
0806,8
0811,7
0816,8
0821,7
0826,8
0901,7
0906,8
1000,9
1001,9
1003,9
1005,10
1006,11
1007,12
1010,13
1014,13
1015,43
1016,15
1018,16
1019,17
1024B,15
1033,16
1034,16
1035,13
1036,13
1037,17
1038,18
1040,18
1041,18
1042,4
1043,19
1044,18
1046G,20
1047F,21
1048F,2
1049F,2
1050,18
1051,15
1052,15
1053,18
1054,18
1056,18
1057,17
1059,20
1060,17
1061,18
1062,18
1063,22
1064,23
1065,13
1066,13
1068,18
1069,17
1071,43
1074,43
1075,43
1078,43
1085,43
1089,18
1090,18
1094,24
1094F,23
1095,24
1096,24
1097,16
1098,16
1099,24
1102A,24
1103,13
1105,24
1108,24
1110,6
1111,23
1112,13
1113,25
1114B,13
1115,13
1116,24
1117,16
1118B,24
1119,24
1120,24
1121,12
1124,22
1125,22
1126,22
1127,22
1128,22
1129,22
1131B,25
1132,25
1133,25
1134,25
1135,25
1136,25
1138,19
1139,25
1140,25
1141,25
1142,24
1143,12
1145,24
1150,19
1152,25
1153,25
1154,25
1156,25
1157,25
1158,25
1159,25
1160,25
1162C,25
1165,22
1167,43
1168,43
1169,43
1172,16
1173,26
1178,16
1179,13
1180,13
1181,26
1182,16
1183,13
1184,16
1185,27
1188,26
1190,24
1191,27
1193A,24
1195,24
1196,24
1197,24
1198,24
1199,24
1199F,1
1202,16
1203,16
1204,16
1207,16
1209,24
1216,26
1217,26
1220,43
1221,43
1222,27
1223,27
1226,18
1227,16
1229,43
1230,22
1231,43
1232,22
1233,25
1236,24
1236F,1
1237,16
1239,43
1240,22
1242,15
1243,12
1244,16
1246,11
1250,28
1251,29
1252,34
1254,27
1257,16
1260,16
1262B,25
1271B,25
1273,25
1278,22
1280B,9
1281,15
1282,15
1283B,31
1286,16
1288,16
1290,32
1300,33
1301,33
1302,34
1303,13
1304,24
1306,24
1306F,23
1307,24
1307F,1
1308G,4
1309,33
1310,5
1313,24
1314,24
1317,25
1318,25
1320,19
1321,19
1328,13
1334,13
1339,19
1343,28
1344,29
1347,29
1348,15
1349,15
1356,15
1358,10
1368,13
1375,36
1376B,22
1377,36
1379,19
1380,36
1381,36
1382,19
1383,19
1384,19
1385,19
1386,19
1387,36
1388,37
1392,38
1402B,25
1403,25
1404,25
1406,25
1408,34
1410,34
1411,43
1412,34
1414,43
1415,34
1416,25
1417B,25
1419,25
1421,34
1422,34
1423,34
1424,25
1425,25
1427,29
1429,28
1430,28
1434,28
1441,22
1442,43
1443,43
1444,43
1446,43
1447,39
1448,39
1449,34
1450,34
1451,34
1452,39
1453,33
1454,34
1455,33
1456,34
1457,39
1458,34
1459,25
1460,25
1461,22
1462,25
1463,25
1464,25
1466,13
1467,13
1471,10
1472,33
1476,25
1477B,39
1478,39
1479,39
1480,39
1482,16
1483,16
1484,16
1486B,16
1487,16
1489,16
1490,39
1492,39
1493,39
1495,39
1497B,25
1498,39
1500,25
1508,10
1509,10
1510,10
1512,10
1513,10
1514B,19
1518,19
1519,19
1520,19
1521,19
1522,19
1525,19
1526,19
1527,19
1528,19
1529,19
1531,19
1533,19
1534,19
1535,19
1538B,19
1540,19
1541B,39
1544,25
1545,25
1546,25
1548B,25
1550,19
1551,19
1552,19
1553,19
1554,19
1557,19
1558,19
1559,11
1560,11
1561,11
1565B,11
1566,11
1567,11
1568,11
1569B,11
1570,11
1571,11
1578,19
1582,11
1584,19
1585,19
1586,19
1587,19
1597B,9
1598B,9
1599,13
1601,36
1602,36
1605,36
1606,13
1610,33
1615,36
1616,36
1617,36
1620B,36
1625,36
1627,36
1628,28
1629,36
1630,28
1631,36
1632,39
1633,39
1635,36
1636,43
1638B,36
1639,19
1640B,19
1641,19
1648,43
1649,33
1650,33
1651,33
1652,28
1653,29
1654,25
1656B,36
1657,36
1659,36
1664,40
1665,40
1666,40
1668,36
1669,36
1670,15
1671,15
1673,36
1674F,38
1675F,38
1676F,38
1677F,38
1678F,38
1679F,38
1680F,38
1681F,38
1682F,38
1683F,38
1684F,38
1685F,38
1686F,38
1687F,38
1689F,38
1690F,38
1691F,38
1692F,38
1693F,38
1695F,38
1696F,3
1697,11
1698F,3
1706,25
1707,16
1711,13
1712,22
1713,22
1714,22
1715,22
1716,22
1718B,22
1719,22
1720B,22
1721,13
1722,13
1723B,33
1724,33
1725,33
1726,22
1728,25
1729,25
1731,22
1732,13
1733,22
1734,9
1736,28
1737,29
1738,28
1739,29
1743,13
1744,13
1746,13
1747,13
1751,22
1752,33
1753,33
1754,33
1755,13
1756B,22
1757,22
1758B,22
1760,22
1762,22
1764,22
1766,18
1767,18
1768,13
1769B,22
1775,17
1776,22
1777B,22
1779,22
1780,9
1781,22
1782,17
1788B,13
1792,16
1793,24
1801,43
1802,34
1803B,34
1804,34
1805F,4
1806,34
1807,34
1809,34
1810,34
1811,34
1812,34
1813,34
1814B,34
1815,34
1816,34
1818,34
1819,34
1820,10
1821,34
1822,34
1823,34
1824,25
1825,34
1826,34
1828,34
1829,34
1830,34
1831,34
1832,34
1833B,34
1834,34
1835,34
1840,34
1841,34
1846,34
1847,34
1850,34
1851,34
1852,34
1853,34
1854,34
1856,34
1857,34
1859,34
1860,34
1861,34
1862,34
1863,34
1864,34
1865,34
1866,34
1868,34
1869,34
1870,34
1871B,34
1872B,34
1873,25
1874,34
1875,34
1880,29
1881,29
1883,28
1884,28
1893,41
1894,15
1895,10
1900,15
1903,29
1904,15
1906,25
1909,25
1910,29
1912,29
1913,29
1914,29
1915,29
1916,29
1917,29
1918,29
1919,29
1920,33
1921,33
1926B,28
1926G,6
1929,28
1931,28
1932,28
1933B,28
1935,28
1936,28
1937,28
1938,28
1939,28
1942,33
1943,33
1944,28
1949,29
1951,39
1953,29
1954,29
1955,29
1957B,29
1958B,29
1959,29
1961B,29
1961G,6
1962,29
1962F,6
1963,29
1964,29
1964F,6
1965,29
1968,33
1969,33
1970,33
1971,33
1972,33
1973,33
1975,33
1976,28
1977,28
1980,28
1981,22
1983,22
1984B,39
1984G,21
1985B,39
1985G,20
1986,28
1988B,15
1989,18
2002,28
2009,22
2010,29
2014,0
2015,19
2016,33
2017,19
2018,33
2022,19
2025B,19
2026,0
2027,19
2028,19
2029,19
2037,19
2038,19
2039,19
2041,19
2042,19
2043,19
2046,33
2050,22
2051,10
2067,11
2069,19
2070,15
2071B,19
2072,24
2073,16
2074,33
2076,33
2077,42
2078,19
2079,33
2080,33
2081,16
2082,24
2084,19
2085,19
2086,42
2087,19
2088,11
2089,12
2092,17
2093,18
2094,17
2095,18
2096,17
2097,12
2098,11
2099,28
2100,12
2101,11
2102,12
2103,28
2104,28
2105,11
2106,25
2107,33
2109B,29
2112,28
2115,33
2116B,28
2117B,28
2118B,28
2119,28
2120,28
2122,29
2123,29
2124,29
2125,29
2131,28
2132,28
2133,28
2134,28
2136,28
2137,28
2138B,28
2140,29
2142,29
2143B,29
2144,29
2145,29
2146,29
2147B,29
2150,28
2153,29
2156,29
2157,29
2158B,13
2159B,13
2160,13
2161,29
2162,13
2163,13
2164,13
2165,28
2165F,6
2166,29
2166F,6
2167,29
2168,29
2170,17
2171,18
2173,11
2174,10
2176,13
2177,22
2200F,37
2207,12
2209,15
2212,22
2213,16
2215,16
2216,16
2217,16
2217F,5
2218,16
2218F,5
2220F,5
2221,15
2225,43
2226,43
2237,11
2238,11
2239,11
2241G,3
2242F,3
2243F,8
2246F,7
2247,25
2248,41
2249,31
2250,41
2252,43
2254,16
2257G,4
2259,16
2259F,4
2260,16
2260F,4
2261,16
2262,16
2264,16
2269,15
2271,11
2283,25
2285G,4
2286G,5
2287,25
2289,25
2290B,22
2291B,22
2292B,41
2294B,31
2296,10
2301,10
2305,15
2306,39
2318G,3
2319,16
2323,16
2327,18
2331F,4
2333,22
2333F,4
2334B,43
2334F,5
2336G,5
2337F,37
2338F,3
2345,10
2346,10
2351,9
2355,39
2365,18
2367,11
2370,15
2373,16
2375,16
2379,18
2380F,5
2383,43
2384,40
2392,16
2395,34
2396B,43
2397,9
2397F,7
2401F,5
2402,43
2403,16
2404,43
2404F,5
2405,16
2407,43
2408,43
2410,43
2411B,43
2412,39
2414,39
2415,39
2422,13
2423,13
2424,36
2425,36
2429,19
2430,19
2431,19
2452,39
2453,39
2455,39
2456,43
2457,43
2459,43
2460,43
2462,22
2462F,4
2463,22
2463F,4
2465,22
2467,22
2470,22
2498B,13
2504,17
2506B,17
2507,17
2508,17
2509,17
2511,16
2512,16
2513,16
2514,16
2515B,13
2518,16
2519,13
2522,16
2523,43
2524,43
2528,40
2531,43
2532,16
2533B,16
2534B,16
2537F,37
2539,43
2539F,4
2541,40
2543F,3
2544,43
2544F,4
2545,17
2546,43
2547,18
2548,43
2548F,4
2550,43
2551,43
2553,43
2554,17
2555,43
2556,43
2558,15
2560,16
2561,16
2562B,16
2564B,16
2565,16
2566B,16
2567,16
2568,16
2569,18
2570,18
2571,18
2572,18
2573B,18
2575,18
2578,22
2581,16
2584B,13
2586,17
2587,15
2594,10
2595,10
2596,10
2598,43
2599,43
2600,43
2601,43
2602,43
2603,4
2604,43
2604F,4
2605,43
2606,43
2607,43
2609,43
2610,39
2611,43
2612,39
2614,43
2617,43
2618,43
2619,43
2620,43
2621,43
2622,43
2623,43
2624,43
2625,43
2631,39
2632,39
2633,39
2634,39
2635F,37
2636F,44
2637F,32
2647,16
2648,16
2659,43
2660,39
2661,43
2662B,43
2664,43
2667,43
2667F,4
2668,4
2670,43
2670F,5
2671,43
2671F,5
2672,43
2672F,5
2680,10
2681,25
2682,22
2695,41
2701,28
2702,28
2704,28
2705,28
2707,25
2708G,20
2709F,20
2710G,20
2714,33
2715,33
2717,33
2718,33
2719,25
2720F,3
2721,33
2725,22
2726F,3
2727,22
2728,22
2729,13
2730,13
2733,22
2734,43
2735,22
2736,22
2737,22
2738,43
2739,9
2741,17
2742,18
2743,17
2744,22
2745,18
2746,17
2747,18
2748B,16
2749,17
2750,16
2751,18
2752,22
2753,22
2754,16
2755B,17
2756,18
2757C,33
2758,17
2759,33
2760B,33
2762,33
2763,33
2764G,21
2765,21
2766,17
2767,43
2768,16
2769,29
2770,29
2771,29
2772,43
2773,43
2774,43
2775,43
2776,16
2777,43
2778,22
2779,16
2780,43
2781,16
2782,16
2783,16
2784,16
2786F,3
2788,9
2801,13
2803,13
2807,13
2808,13
2809,18
2810,18
2811,18
2813B,18
2814,18
2815B,18
2816,18
2817,18
2819,18
2822,17
2823B,17
2824,18
2827,18
2835,15
2840,9
2841,17
2842,18
2845,13
2846,29
2847,28
2848F,37
2849,13
2850,13
2851F,32
2852,17
2853,17
2854,17
2855,17
2856B,17
2857C,17
2860,17
2861,17
2863,13
2864,13
2866,13
2867,13
2871,13
2873,13
2874,13
2875,17
2876F,45
2878F,32
2879F,37
2895,41
2898,11
2899,31
2900,41
2900F,3
2901,3
2902,45
2903,41
2903F,45
2905,31
2908B,41
2909,41
2910,41
2912,41
2915,41
2918,25
2919,25
2920,25
2924,41
2926,41
2927,25
2928,9
2929,43
2931,43
2931F,5
2932,43
2934A,43
2935,43
2936,43
2937B,43
2948,9
2950,43
2951,43
2953,43
2954B,43
2955,43
2957A,43
2959,43
2960,43
2960F,4
2962,43
2963,9
2964B,9
2965,43
2967B,9
2971,43
2971F,4
2972,43
2972F,5
2974,25
2977,41
2980,41
2982B,41
2986B,31
2987,31
2988,41
2990,41
2991,31
2992,41
2995,41
2996,41
2997,41
3005,18
3007,18
3008,18
3009,15
3014,18
3017,31
3018,31
3042,31
3046,43
3047,16
3059,18
3061,18
3062,11
3063,18
3072,10
3074,43
3075,15
3077,27
3078,39
3080,25
3081,25
3082,15
3083,15
3084,17
3085,18
3086,12
3087,12
3098,12
3099,12
3100,12
3101,12
3102,12
3103,12
3104,12
3105,12
3106,12
3107,12
3109,12
3111,12
3112,12
3113,12
3114,12
3117,25
3118,12
3120,9
3121B,9
3122,29
3123,4
3125,9
3126,12
3131,9
3150,10
3155,9
3156,9
3158B,25
3159,25
3160,25
3162,11
3163,11
3164,11
3165,11
3167,11
3168,11
3171,11
3172,11
3173,11
3174,11
3175B,11
3176,41
3177,11
3180,11
3181,11
3183,41
3184,41
3185,41
3186,41
3188,43
3189,43
3190,43
3191,29
3192,29
3193,43
3194,43
3196,43
3199,41
3200,41
3201,41
3203,41
3204,41
3207,41
3210B,41
3211,43
3214,41
3216,25
3217,25
3218,25
3219,11
3221,16
3222,16
3223B,16
3225,16
3225F,5
3226B,16
3226F,5
3228,16
3228F,5
3229,13
3230,24
3230F,5
3231,24
3232,24
3233,24
3234,24
3235,24
3236,24
3237,11
3238,24
3239,24
3240,41
3243,43
3244,15
3245,15
3252,24
3253,24
3253F,4
3257,15
3257F,4
3259C,15
3260,15
3261,15
3263F,4
3272,31
3273,31
3274,31
3276,31
3279,41
3280,41
3281,24
3282,24
3284,41
3285,31
3286B,31
3298,41
3299,11
3304,41
3305,41
3306,41
3307,41
3308F,3
3312,15
3313,11
3317,3
3320B,16
3321,3
3325,11
3332,11
3335F,3
3337F,3
3338F,3
3354,10
3355,10
3358,11
3360F,3
3361,41
3362,41
3366,19
3367,11
3368,16
3369,16
3370F,5
3371F,4
3372,9
3376,16
3377,16
3378,16
3379,16
3380,11
3381,25
3399,25
3401,41
3402,19
3403,19
3404,41
3405,39
3408,11
3409,11
3410,11
3411,11
3412,10
3413,15
3414,11
3415,39
3417,11
3419,11
3420,41
3424,41
3425,41
3447,33
3448B,10
3449,10
3450,10
3451,10
3456,36
3457,36
3458,41
3459,19
3460,19
3461,19
3462,19
3463,19
3465,15
3466,41
3468,41
3469,15
3470,10
3480,8
3481,20
3482,13
3483,13
3484,13
3486,16
3502,9
3503,9
3505,22
3506,9
3508F,4
3510B,9
3513,9
3514,9
3515,9
3517,9
3518B,9
3519,29
3520,9
3521,9
3522,33
3524,33
3525,9
3526,33
3529,33
3530,33
3535,39
3546,33
3549,33
3550,33
3551,33
3552,33
3553,33
3556,9
3557,9
3558,9
3559,9
3562B,9
3567,9
3570,9
3572,9
3572F,5
3573,28
3581,43
3587,15
3588,15
3589,15
3600,13
3601,13
3604,43
3605,16
3606,13
3607,13
3608,5
3609F,5
3611F,4
3612F,4
3613F,4
3619B,12
3620B,25
3623B,22
3624B,43
3625B,43
3629,22
3630,22
3633C,22
3636,16
3637,16
3638,16
3639,16
3661,41
3681,43
3682,43
3702,41
3704,41
3705,41
3707,25
3712,16
3713,16
3717,16
3718,16
3751,16
3752,16
3755,16
3756,16
3761,31
3762,31
3763,31
3765,31
3766,31
3800,40
3802,40
3804,40
3805,40
3808,40
3810,40
3812,40
3814,40
3815,40
3850,40
3851,40
3852,40
3853,40
3856,40
3858,40
3859,40
3860,40
3898,41
3899,19
3900,19
3902,19
3903,19
3904,41
3905,41
3906,41
3908,41
3909,19
3910,19
3911,41
3912,25
3919,19
3920,19
3921,25
3922,25
3952,31
3953,25
3954,31
3956,31
3957,31
3958,19
3959,19
3961,31
3962,19
4002B,24
4002G,4
4003G,4
4005F,4
4006G,4
4007G,4
4014,24
4022,4
4053G,5
4054G,5
4055G,5
4058F,5
4059,24
4059F,5
4062,13
4066,24
4066F,5
4072B,18
4074B,15
4076,33
4101,13
4103,13
4104,13
4105,13
4106,13
4107,13
4109,13
4110,13
4111,16
4112,13
4115,13
4116,13
4118F,37
4119F,32
4123,18
4124,17
4125,15
4127,15
4131B,17
4132B,18
4152,13
4153,13
4156,13
4157,13
4158,13
4159,13
4160,13
4162,13
4163,13
4165,13
4168,13
4169,13
4205B,17
4206B,17
4207,17
4213,15
4214,15
4223F,38
4228,17
4229,17
4230,17
4232,17
4251,13
4253,15
4258,15
4259,18
4261,18
4262F,4
4264B,18
4266,15
4267,15
4268,18
4274,18
4276,18
4277,18
4287,33
4288,33
4289,33
4290,33
4292,33
4293,33
4294,33
4295,33
4296,33
4297,33
4298,33
4299,33
4303,9
4304,9
4305,9
4306,9
4307,9
4308,33
4309,33
4310,33
4311,33
4313,33
4314,33
4315,33
4318,33
4319,33
4340,33
4341,33
4342,33
4344,33
4345,33
4347,33
4348,33
4349,33
4351,33
4355,33
4357,33
4358,33
4359,33
4360,33
4362,9
4363,9
4364,22
4365,22
4366,22
4367B,22
4369,22
4401,33
4402,33
4403,33
4405,33
4407,33
4408,33
4449,33
4452,33
4454,33
4455,33
4456,33
4500,41
4501F,20
4505,41
4555,31
4556B,31
4558,31
4594,15
4595,15
4598,24
4599,24
4600,24
4601,24
4602,24
4653,24
4655,24
4656,24
4657,24
4658,24
4659,24
4661B,24
4705,29
4804B,28
4854C,29
4856B,29
4857B,28
4952,22
4955F,32
4956,18
4957,17
4958F,37
5001F,32
5003,32
5006,32
5007F,32
5008F,32
5009B,17
5009G,32
5011,17
5011F,32
5013B,16
5013F,32
5014,32
5015,32
