route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
001,EMT,1,Plaza de Cristo Rey - Prosperidad,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=1,0178BC,FFFFFF
002,EMT,2,Plaza de Manuel Becerra - Avenida Reina Victoria,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=2,0178BC,FFFFFF
003,EMT,3,Puerta de Toledo - Plaza de San Amaro,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=3,0178BC,FFFFFF
004,EMT,4,Plaza de Ciudad Lineal - Puerta de Arganda,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=4,0178BC,FFFFFF
005,EMT,5,Puerta del Sol/sevilla - Estacion de Chamartin,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=5,0178BC,FFFFFF
006,EMT,6,Plaza de Jacinto Benavente - Orcasitas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=6,0178BC,FFFFFF
007,EMT,7,Plaza de Alonso Martinez - Manoteras,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=7,0178BC,FFFFFF
008,EMT,8,Plaza de Legazpi - Valdebernardo,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=8,0178BC,FFFFFF
009,EMT,9,Puerta del Sol/sevilla - Hortaleza,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=9,0178BC,FFFFFF
010,EMT,10,Plaza de Cibeles - Palomeras,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=10,0178BC,FFFFFF
011,EMT,11,Marques de Viana - Barrio Blanco,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=11,0178BC,FFFFFF
012,EMT,12,Plaza de Cristo Rey - Paseo Marques de Zafra,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=12,0178BC,FFFFFF
014,EMT,14,Plaza de Conde de Casal - Avenida de Pio XII,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=14,0178BC,FFFFFF
015,EMT,15,Puerta del Sol/sevilla - la Elipa,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=15,0178BC,FFFFFF
016,EMT,16,Moncloa - Avenida de Pio XII,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=16,0178BC,FFFFFF
017,EMT,17,Plaza Mayor - Colonia Parque de Europa,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=17,0178BC,FFFFFF
018,EMT,18,Plaza Mayor - Villaverde Cruce,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=18,0178BC,FFFFFF
