route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
001,FE,FE0010011,Prosperidad,0,,001_A
001,FE,FE0010012,Cristo Rey,1,,001_B
001,FE,FE0010013,Prosperidad,0,,001_A
001,FE,FE0010014,Cristo Rey,1,,001_B
001,FE,FE0010015,Prosperidad,0,,001_A
001,FE,FE0010016,Cristo Rey,1,,001_B
001,FE,FE0010017,Prosperidad,0,,001_A
001,FE,FE0010018,Cristo Rey,1,,001_B
001,FE,FE0010019,Prosperidad,0,,001_A
001,FE,FE00100110,Cristo Rey,1,,001_B
001,FE,FE00100111,Prosperidad,0,,001_A
001,FE,FE00100112,Cristo Rey,1,,001_B
001,FE,FE00100113,Prosperidad,0,,001_A
001,FE,FE00100114,Cristo Rey,1,,001_B
001,FE,FE00100115,Prosperidad,0,,001_A
001,FE,FE00100116,Cristo Rey,1,,001_B
001,FE,FE00100117,Prosperidad,0,,001_A
001,FE,FE00100118,Cristo Rey,1,,001_B
001,FE,FE00100119,Prosperidad,0,,001_A
001,FE,FE0010021,Cristo Rey,1,,001_B
001,FE,FE0010022,Prosperidad,0,,001_A
001,FE,FE0010023,Cristo Rey,1,,001_B
001,FE,FE0010024,Prosperidad,0,,001_A
001,FE,FE0010025,Cristo Rey,1,,001_B
001,FE,FE0010026,Prosperidad,0,,001_A
001,FE,FE0010027,Cristo Rey,1,,001_B
001,FE,FE0010028,Prosperidad,0,,001_A
001,FE,FE0010029,Cristo Rey,1,,001_B
001,FE,FE00100210,Prosperidad,0,,001_A
001,FE,FE00100211,Cristo Rey,1,,001_B
001,FE,FE00100212,Prosperidad,0,,001_A
001,FE,FE00100213,Cristo Rey,1,,001_B
001,FE,FE00100214,Prosperidad,0,,001_A
001,FE,FE00100215,Cristo Rey,1,,001_B
001,FE,FE00100216,Prosperidad,0,,001_A
001,FE,FE00100217,Cristo Rey,1,,001_B
001,FE,FE00100218,Prosperidad,0,,001_A
001,FE,FE00100219,Cristo Rey,1,,001_B
001,FE,FE00100220,Prosperidad,0,,001_A
001,FE,FE00100221,Cristo Rey,1,,001_B
001,FE,FE00100222,Prosperidad,0,,001_A
001,FE,FE0010031,Cristo Rey,1,,001_B
001,FE,FE0010032,Prosperidad,0,,001_A
001,FE,FE0010033,Cristo Rey,1,,001_B
001,FE,FE0010034,Prosperidad,0,,001_A
001,FE,FE0010035,Cristo Rey,1,,001_B
001,FE,FE0010036,Prosperidad,0,,001_A
001,FE,FE0010037,Cristo Rey,1,,001_B
001,FE,FE0010038,Prosperidad,0,,001_A
001,FE,FE0010039,Cristo Rey,1,,001_B
001,FE,FE00100310,Prosperidad,0,,001_A
001,FE,FE00100311,Cristo Rey,1,,001_B
001,FE,FE00100312,Prosperidad,0,,001_A
001,FE,FE00100313,Cristo Rey,1,,001_B
001,FE,FE00100314,Prosperidad,0,,001_A
001,FE,FE00100315,Cristo Rey,1,,001_B
001,FE,FE00100316,Prosperidad,0,,001_A
001,FE,FE00100317,Cristo Rey,1,,001_B
001,FE,FE00100318,Prosperidad,0,,001_A
001,FE,FE00100319,Cristo Rey,1,,001_B
001,FE,FE00100320,Prosperidad,0,,001_A
001,FE,FE0010041,Cristo Rey,1,,001_B
001,FE,FE0010042,Prosperidad,0,,001_A
001,FE,FE0010043,Cristo Rey,1,,001_B
001,FE,FE0010044,Prosperidad,0,,001_A
